datetime,hour,month,weekday,latitude,longitude,crime_category,raw_offense,city
2007-02-09 17:22:00,17,2,4,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-02-09 18:39:00,18,2,4,47.57587276,-122.296243168079,other,ALL OTHER,Seattle
2007-02-09 21:51:00,21,2,4,47.67598928,-122.36530006241,other,ALL OTHER,Seattle
2007-02-21 14:42:00,14,2,2,47.6389868,-122.324678163398,property,PROPERTY CRIME,Seattle
2007-02-23 22:16:00,22,2,4,47.60241242,-122.33108219869,other,ALL OTHER,Seattle
2007-02-23 22:16:00,22,2,4,47.60241242,-122.33108219869,other,ALL OTHER,Seattle
2007-03-02 03:20:00,3,3,4,47.52731515,-122.280862696214,property,PROPERTY CRIME,Seattle
2007-03-08 09:35:00,9,3,3,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-03-09 14:41:00,14,3,4,-1.0,-1.0,other,ALL OTHER,Seattle
2007-03-09 14:41:00,14,3,4,-1.0,-1.0,violent,VIOLENT CRIME,Seattle
2007-03-15 20:00:00,20,3,3,47.59239572,-122.334194500823,other,ALL OTHER,Seattle
2007-03-25 12:56:00,12,3,6,-1.0,-1.0,violent,VIOLENT CRIME,Seattle
2007-03-25 12:56:00,12,3,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-03-25 12:56:00,12,3,6,-1.0,-1.0,violent,VIOLENT CRIME,Seattle
2007-03-25 12:56:00,12,3,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-03-27 12:37:00,12,3,1,47.66031644,-122.340676417889,other,ALL OTHER,Seattle
2007-03-27 13:39:00,13,3,1,47.67675924,-122.322679566584,other,ALL OTHER,Seattle
2007-03-28 09:53:00,9,3,2,47.67675924,-122.322679566584,other,ALL OTHER,Seattle
2007-03-30 09:51:00,9,3,4,47.61309087,-122.349999021057,property,PROPERTY CRIME,Seattle
2007-04-05 10:55:00,10,4,3,-1.0,-1.0,property,PROPERTY CRIME,Seattle
