Scenario,Precision Macro,F1 Macro,Coverage,Note
West Yorkshire baseline,0.3853,0.378,1.0,no transfer
Zero-shot Chicago->West Yorkshire,0.3768,0.3766,1.0,0% target data
Fine-tune 10%,0.3853,0.3772,1.0,10% target+src proba
Fine-tune 20%,0.3848,0.3768,1.0,20% target+src proba
Fine-tune 50%,0.385,0.3771,1.0,50% target+src proba
Teacher-Student (T=3.0),0.3851,0.3771,1.0,soft labels
