Feature Group,N Features,Precision Macro,Precision Weighted,F1 Macro
lag_* only,3,0.4456,0.4719,0.4446
Spatial + Temporal,13,0.4414,0.4676,0.4317
Spatial only,4,0.4387,0.4692,0.4327
All features (full model),26,0.4239,0.4433,0.4144
hist_* only,3,0.4221,0.4418,0.4128
hist_* + lag_*,6,0.422,0.4417,0.4125
Spatial + Temporal + Relative,17,0.4063,0.4353,0.3905
Stability features,3,0.385,0.4113,0.3361
