lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
40.52,-74.23,1,57,property,0.017543859649122806,1.0012842523346484,other,0.8238,False,0.8238,0.1619,0.0143,1.4,NYC,high
40.52,-74.23,2,78,property,0.14102564102564102,0.9595065391230382,other,0.799,False,0.799,0.1861,0.0149,1.5,NYC,medium
40.52,-74.23,3,57,other,0.03508771929824561,1.0711972361580187,other,0.8726,True,0.8726,0.1142,0.0132,1.3,NYC,high
40.52,-74.22,0,23,other,0.043478260869565216,0.9272771162838269,other,0.864,True,0.864,0.1217,0.0143,1.4,NYC,high
40.52,-74.22,1,32,other,0.125,0.9743147528693494,other,0.8685,True,0.8685,0.1183,0.0131,1.3,NYC,high
40.52,-74.22,2,49,other,0.02040816326530612,0.9798108699179089,other,0.7487,True,0.7487,0.236,0.0154,1.5,NYC,medium
40.52,-74.22,3,63,other,0.2857142857142857,0.9847433454095131,other,0.8747,True,0.8747,0.1121,0.0133,1.3,NYC,high
40.52,-74.21000000000001,0,36,property,0.4722222222222222,0.8629119236253214,other,0.6609,False,0.6609,0.3226,0.0165,1.6,NYC,medium
40.52,-74.21000000000001,1,35,property,0.08571428571428572,0.6894692208089569,property,0.5085,True,0.476,0.5085,0.0155,1.6,NYC,uncertain
40.52,-74.21000000000001,2,36,other,0.19444444444444445,0.9776742172397523,other,0.8725,True,0.8725,0.1143,0.0132,1.3,NYC,high
40.52,-74.21000000000001,3,50,property,0.06,1.03757708994672,other,0.8717,False,0.8717,0.1151,0.0133,1.3,NYC,high
40.52,-74.2,0,37,other,0.32432432432432434,0.9331888730227674,other,0.874,True,0.874,0.1125,0.0135,1.3,NYC,high
40.52,-74.2,1,45,other,0.26666666666666666,1.0096137581740383,other,0.8663,True,0.8663,0.1201,0.0136,1.4,NYC,high
40.52,-74.2,2,76,other,0.19736842105263158,1.0442659246195558,other,0.8735,True,0.8735,0.1134,0.0131,1.3,NYC,high
40.52,-74.2,3,60,other,0.2,1.0482944200024833,other,0.8769,True,0.8769,0.11,0.013,1.3,NYC,high
40.52,-74.19,0,5,property,0.2,0.6730116880595106,other,0.8694,False,0.8694,0.1167,0.0138,1.4,NYC,high
40.52,-74.19,1,24,property,0.0,1.0281838593329258,other,0.8393,False,0.8393,0.1466,0.0141,1.4,NYC,high
40.52,-74.19,2,28,other,0.21428571428571427,1.0346012329101812,other,0.8678,True,0.8678,0.1181,0.0142,1.4,NYC,high
40.52,-74.19,3,17,other,0.5294117647058824,0.8037421073162029,other,0.8717,True,0.8717,0.1148,0.0135,1.4,NYC,high
40.52,-74.18,0,7,property,0.7142857142857143,0.4101163396015584,other,0.8708,False,0.8708,0.1156,0.0136,1.4,NYC,high
40.52,-74.18,1,12,property,0.25,0.887694275799104,other,0.8649,False,0.8649,0.1205,0.0146,1.5,NYC,high
40.52,-74.18,2,7,property,0.14285714285714285,0.6829081257408294,other,0.8652,False,0.8652,0.1203,0.0145,1.5,NYC,high
40.52,-74.18,3,11,property,0.09090909090909091,1.0361987848192837,other,0.8576,False,0.8576,0.1276,0.0147,1.5,NYC,high
40.52,-74.17,2,3,other,0.3333333333333333,0.6365141893815645,other,0.8684,True,0.8684,0.1177,0.0138,1.4,NYC,high
40.53,-74.24,0,35,property,0.45714285714285713,0.8757787022914669,other,0.8656,False,0.8656,0.1205,0.0139,1.4,NYC,high
40.53,-74.24,1,37,other,0.08108108108108109,0.8624840066680419,other,0.8623,True,0.8623,0.1242,0.0135,1.4,NYC,high
40.53,-74.24,2,68,property,0.08823529411764706,1.004214913880662,property,0.7289,True,0.2571,0.7289,0.0141,1.4,NYC,medium
40.53,-74.24,3,53,property,0.03773584905660377,0.8706760874594133,other,0.8677,False,0.8677,0.1184,0.0139,1.4,NYC,high
40.53,-74.23,0,14,property,0.2857142857142857,0.9556998911125343,property,0.5887,True,0.3851,0.5887,0.0262,2.6,NYC,medium
40.53,-74.23,1,97,property,0.6391752577319587,0.5195459558863686,property,0.7512,True,0.2353,0.7512,0.0135,1.4,NYC,medium
40.53,-74.23,2,286,property,0.7447552447552448,0.450528990728138,property,0.7514,True,0.2352,0.7514,0.0134,1.3,NYC,medium
40.53,-74.23,3,132,property,0.6666666666666666,0.5897141748064113,property,0.7492,True,0.2372,0.7492,0.0136,1.4,NYC,medium
40.53,-74.22,0,38,other,0.10526315789473684,0.95047376327441,other,0.8719,True,0.8719,0.1145,0.0137,1.4,NYC,high
40.53,-74.22,1,36,other,0.16666666666666666,1.0720433435750707,other,0.87,True,0.87,0.1166,0.0134,1.3,NYC,high
40.53,-74.22,2,62,other,0.45161290322580644,0.8652581154432321,other,0.8702,True,0.8702,0.1166,0.0132,1.3,NYC,high
40.53,-74.22,3,64,other,0.46875,0.8803384787456416,other,0.8694,True,0.8694,0.1168,0.0137,1.4,NYC,high
40.53,-74.21000000000001,0,27,other,0.2222222222222222,0.8000120331977751,other,0.8174,True,0.8174,0.1682,0.0144,1.4,NYC,high
40.53,-74.21000000000001,1,22,property,0.13636363636363635,0.8367742263818623,other,0.8661,False,0.8661,0.1209,0.013,1.3,NYC,high
40.53,-74.21000000000001,2,32,property,0.15625,1.0511116843665764,other,0.8729,False,0.8729,0.1139,0.0132,1.3,NYC,high
40.53,-74.21000000000001,3,32,property,0.03125,1.0176629708064735,other,0.8725,False,0.8725,0.1142,0.0134,1.3,NYC,high
40.53,-74.2,0,39,property,0.1794871794871795,0.8427928935261595,other,0.8702,False,0.8702,0.1164,0.0134,1.3,NYC,high
40.53,-74.2,1,41,property,0.1951219512195122,0.9575494776636475,property,0.7242,True,0.2624,0.7242,0.0134,1.3,NYC,medium
40.53,-74.2,2,51,other,0.0392156862745098,1.083086833504507,other,0.8664,True,0.8664,0.1206,0.013,1.3,NYC,high
40.53,-74.2,3,44,other,0.18181818181818182,0.9164648855394713,other,0.8729,True,0.8729,0.1138,0.0133,1.3,NYC,high
40.53,-74.19,0,32,other,0.1875,0.8647400965276372,other,0.869,True,0.869,0.1175,0.0135,1.3,NYC,high
40.53,-74.19,1,53,other,0.4716981132075472,0.874092566089695,other,0.8766,True,0.8766,0.1106,0.0129,1.3,NYC,high
40.53,-74.19,2,84,other,0.03571428571428571,1.0894894783008202,other,0.8721,True,0.8721,0.1146,0.0133,1.3,NYC,high
40.53,-74.19,3,41,other,0.4878048780487805,0.8786857869752525,other,0.8744,True,0.8744,0.1125,0.0132,1.3,NYC,high
40.53,-74.18,0,3,property,0.3333333333333333,0.6365141893815645,other,0.5038,False,0.5038,0.4791,0.0171,1.7,NYC,uncertain
40.53,-74.18,1,12,other,0.16666666666666666,1.0114042647073518,property,0.5217,False,0.462,0.5217,0.0164,1.6,NYC,uncertain
40.53,-74.18,2,18,property,0.2222222222222222,0.9368883075390159,other,0.8724,False,0.8724,0.1145,0.0131,1.3,NYC,high
40.53,-74.18,3,14,property,0.21428571428571427,1.034601232910181,other,0.8644,False,0.8644,0.1217,0.0139,1.4,NYC,high
40.53,-74.17,0,16,property,0.0625,0.8815322611881636,other,0.8693,False,0.8693,0.1167,0.014,1.4,NYC,high
40.53,-74.17,1,36,other,0.027777777777777776,0.8004267581481479,other,0.6306,True,0.6306,0.3538,0.0156,1.6,NYC,medium
40.53,-74.17,2,42,property,0.14285714285714285,0.9302998331833918,other,0.8755,False,0.8755,0.1117,0.0128,1.3,NYC,high
40.53,-74.17,3,39,property,0.0,0.9872425881788298,other,0.8678,False,0.8678,0.1181,0.0141,1.4,NYC,high
40.53,-74.16,0,32,other,0.15625,0.9257564180367264,other,0.8721,True,0.8721,0.1148,0.0132,1.3,NYC,high
40.53,-74.16,1,43,other,0.13953488372093023,0.9609316716961218,other,0.7929,True,0.7929,0.1924,0.0148,1.5,NYC,medium
40.53,-74.16,2,72,other,0.1388888888888889,0.8589486091112841,other,0.8683,True,0.8683,0.1186,0.0131,1.3,NYC,high
40.53,-74.16,3,55,other,0.2,0.9834458571383364,other,0.8696,True,0.8696,0.1165,0.0139,1.4,NYC,high
40.53,-74.15,0,12,property,0.08333333333333333,0.9184277849930975,other,0.8696,False,0.8696,0.1167,0.0137,1.4,NYC,high
40.53,-74.15,1,20,other,0.05,0.8556886672556694,property,0.5819,False,0.403,0.5819,0.0151,1.5,NYC,medium
40.53,-74.15,2,15,property,0.06666666666666667,1.0851886129676505,other,0.7512,False,0.7512,0.233,0.0158,1.6,NYC,medium
40.53,-74.15,3,11,violent,0.0,1.0900596587107838,other,0.8651,False,0.8651,0.1205,0.0144,1.4,NYC,high
40.54,-74.24,0,9,property,0.4444444444444444,0.848685557726417,other,0.8637,False,0.8637,0.1218,0.0145,1.4,NYC,high
40.54,-74.24,1,22,property,0.045454545454545456,0.9957374991778267,other,0.8628,False,0.8628,0.123,0.0142,1.4,NYC,high
40.54,-74.24,2,32,property,0.0625,1.0433534269422906,other,0.8608,False,0.8608,0.1246,0.0146,1.5,NYC,high
40.54,-74.24,3,12,property,0.0,1.0281838593329258,other,0.8616,False,0.8616,0.1242,0.0142,1.4,NYC,high
40.54,-74.23,0,5,other,0.6,0.5004024447610513,other,0.5018,True,0.5018,0.4816,0.0166,1.7,NYC,uncertain
40.54,-74.23,1,5,property,0.2,0.6730116880595106,property,0.7012,True,0.2844,0.7012,0.0144,1.4,NYC,medium
40.54,-74.23,2,9,other,0.1111111111111111,1.0608569471580214,other,0.8509,True,0.8509,0.1344,0.0146,1.5,NYC,high
40.54,-74.23,3,4,other,0.5,0.5623351657797391,property,0.7381,False,0.2478,0.7381,0.0141,1.4,NYC,medium
40.54,-74.22,0,56,other,0.39285714285714285,0.8699223833351151,other,0.8705,True,0.8705,0.1161,0.0134,1.3,NYC,high
40.54,-74.22,1,75,other,0.32,0.7789977492971932,other,0.8737,True,0.8737,0.1134,0.0129,1.3,NYC,high
40.54,-74.22,2,116,other,0.3017241379310345,0.9698388383740717,other,0.8717,True,0.8717,0.115,0.0133,1.3,NYC,high
40.54,-74.22,3,95,other,0.5157894736842106,0.8222903692831117,other,0.8729,True,0.8729,0.1137,0.0134,1.3,NYC,high
40.54,-74.21000000000001,0,54,property,0.037037037037037035,1.0091366718296015,other,0.8746,False,0.8746,0.1125,0.013,1.3,NYC,high
40.54,-74.21000000000001,1,74,other,0.12162162162162163,0.826975655777125,other,0.8732,True,0.8732,0.1138,0.013,1.3,NYC,high
40.54,-74.21000000000001,2,128,other,0.1953125,0.9706024844215382,other,0.8738,True,0.8738,0.1132,0.013,1.3,NYC,high
40.54,-74.21000000000001,3,100,other,0.26,1.032487237798128,other,0.868,True,0.868,0.1179,0.0141,1.4,NYC,high
40.54,-74.2,0,57,property,0.0,0.9295739074961717,other,0.873,False,0.873,0.1138,0.0132,1.3,NYC,high
40.54,-74.2,1,54,other,0.12962962962962962,0.9792875299608688,property,0.5079,False,0.4767,0.5079,0.0154,1.5,NYC,uncertain
40.54,-74.2,2,100,other,0.24,0.9165249587390547,other,0.8704,True,0.8704,0.1162,0.0134,1.3,NYC,high
40.54,-74.2,3,85,other,0.25882352941176473,0.9496511798677356,other,0.8747,True,0.8747,0.1122,0.0132,1.3,NYC,high
40.54,-74.19,0,40,property,0.15,0.6818546297721946,other,0.8746,False,0.8746,0.1121,0.0133,1.3,NYC,high
40.54,-74.19,1,41,property,0.14634146341463414,0.779889290720744,other,0.7726,False,0.7726,0.2123,0.0151,1.5,NYC,medium
40.54,-74.19,2,68,property,0.014705882352941176,0.7594928909798813,other,0.8715,False,0.8715,0.1153,0.0132,1.3,NYC,high
40.54,-74.19,3,39,property,0.02564102564102564,0.95236944265359,other,0.873,False,0.873,0.1137,0.0133,1.3,NYC,high
40.54,-74.18,0,81,other,0.1111111111111111,1.0726919002061692,other,0.8742,True,0.8742,0.1127,0.013,1.3,NYC,high
40.54,-74.18,1,46,property,0.13043478260869565,0.9189639831203728,other,0.872,False,0.872,0.1152,0.0128,1.3,NYC,high
40.54,-74.18,2,72,other,0.05555555555555555,1.0263306332944864,other,0.8759,True,0.8759,0.1112,0.0129,1.3,NYC,high
40.54,-74.18,3,99,other,0.3838383838383838,0.9402891980521186,other,0.8773,True,0.8773,0.1099,0.0129,1.3,NYC,high
