Scenario,Precision Macro,F1 Macro,Coverage,Note
Karachi baseline,0.6957,0.7606,1.0,no transfer
Zero-shot Chicago->Karachi,0.7571,0.7423,1.0,0% target data
Fine-tune 10%,0.6049,0.3423,1.0,10% target+src proba
Fine-tune 20%,0.5887,0.5537,1.0,20% target+src proba
Fine-tune 50%,0.5755,0.5476,1.0,50% target+src proba
Teacher-Student (T=3.0),0.9306,0.8742,1.0,soft labels
