lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
33.730000000000004,-118.31,1,30,property,0.3,0.7688576638587279,property,0.8153,True,0.0735,0.8153,0.1112,11.1,LA,high
33.730000000000004,-118.31,2,56,other,0.07142857142857142,1.0012628283087175,property,0.8155,False,0.0733,0.8155,0.1112,11.1,LA,high
33.730000000000004,-118.31,3,65,property,0.27692307692307694,0.868832424458428,property,0.8153,True,0.0735,0.8153,0.1112,11.1,LA,high
33.730000000000004,-118.3,0,103,property,0.20388349514563106,1.0370400300481966,property,0.8152,True,0.0736,0.8152,0.1112,11.1,LA,high
33.730000000000004,-118.3,1,107,property,0.018691588785046728,1.0520677218217487,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.730000000000004,-118.3,2,172,property,0.03488372093023256,1.0238509674103142,property,0.8157,True,0.0732,0.8157,0.1112,11.1,LA,high
33.730000000000004,-118.3,3,180,property,0.2111111111111111,1.0540178495575505,property,0.8156,True,0.0732,0.8156,0.1112,11.1,LA,high
33.730000000000004,-118.29,0,206,property,0.19902912621359223,1.0505860989719236,property,0.6714,True,0.171,0.6714,0.1576,15.8,LA,medium
33.730000000000004,-118.29,1,253,property,0.12648221343873517,1.080999903460403,property,0.8145,True,0.0742,0.8145,0.1113,11.1,LA,high
33.730000000000004,-118.29,2,369,property,0.07046070460704607,1.0883504063957707,property,0.815,True,0.0737,0.815,0.1112,11.1,LA,high
33.730000000000004,-118.29,3,420,property,0.1595238095238095,1.0727028737709827,property,0.813,True,0.0753,0.813,0.1116,11.2,LA,high
33.730000000000004,-118.28,0,107,property,0.09345794392523364,1.046839172916361,property,0.795,True,0.0882,0.795,0.1167,11.7,LA,medium
33.730000000000004,-118.28,1,172,other,0.011627906976744186,1.0610151971574904,property,0.8131,False,0.0754,0.8131,0.1115,11.1,LA,high
33.730000000000004,-118.28,2,196,property,0.04591836734693878,1.0807889862385798,property,0.8135,True,0.075,0.8135,0.1115,11.2,LA,high
33.730000000000004,-118.28,3,192,property,0.11458333333333333,1.02934093390982,property,0.8097,True,0.0783,0.8097,0.112,11.2,LA,high
33.730000000000004,-118.27,1,5,property,0.6,0.5004024447610512,property,0.7733,True,0.1201,0.7733,0.1066,10.7,LA,medium
33.730000000000004,-118.27,2,4,other,0.25,1.0397207708399179,property,0.7704,False,0.1253,0.7704,0.1044,10.4,LA,medium
33.730000000000004,-118.27,3,4,violent,0.0,0.6931472015900639,property,0.8112,False,0.077,0.8112,0.1118,11.2,LA,high
33.730000000000004,-118.26,2,3,property,0.3333333333333333,0.6365141893815645,property,0.815,True,0.0738,0.815,0.1112,11.1,LA,high
33.730000000000004,-118.24000000000001,0,5,property,0.4,0.9502705392332347,property,0.8137,True,0.0748,0.8137,0.1115,11.1,LA,high
33.730000000000004,-118.24000000000001,2,7,other,0.5714285714285714,0.796311640173813,property,0.7706,False,0.1243,0.7706,0.1052,10.5,LA,medium
33.74,-118.32000000000001,0,12,other,0.16666666666666666,1.0114042647073518,property,0.8155,False,0.0733,0.8155,0.1112,11.1,LA,high
33.74,-118.32000000000001,1,27,other,0.037037037037037035,1.0091366718296015,property,0.8155,False,0.0734,0.8155,0.1112,11.1,LA,high
33.74,-118.32000000000001,2,36,property,0.3333333333333333,0.9950269901795212,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.74,-118.32000000000001,3,18,property,0.3888888888888889,0.9338238517147219,property,0.8152,True,0.0736,0.8152,0.1112,11.1,LA,high
33.74,-118.31,0,46,other,0.043478260869565216,1.0953330817042592,property,0.8147,False,0.074,0.8147,0.1113,11.1,LA,high
33.74,-118.31,1,47,property,0.19148936170212766,0.9653843678183596,property,0.8148,True,0.0739,0.8148,0.1113,11.1,LA,high
33.74,-118.31,2,64,property,0.234375,0.9992354827050791,property,0.8156,True,0.0733,0.8156,0.1112,11.1,LA,high
33.74,-118.31,3,87,property,0.3448275862068966,0.9592548832791166,property,0.8155,True,0.0733,0.8155,0.1112,11.1,LA,high
33.74,-118.3,0,47,property,0.2553191489361702,0.8510203100771534,property,0.815,True,0.0738,0.815,0.1113,11.1,LA,high
33.74,-118.3,1,68,property,0.29411764705882354,0.8821256060226239,property,0.8155,True,0.0733,0.8155,0.1112,11.1,LA,high
33.74,-118.3,2,92,property,0.22826086956521738,0.9164266433392606,property,0.8158,True,0.0731,0.8158,0.1111,11.1,LA,high
33.74,-118.3,3,93,property,0.41935483870967744,0.9217236353931356,property,0.8155,True,0.0733,0.8155,0.1112,11.1,LA,high
33.74,-118.29,0,304,property,0.17763157894736842,1.0455529355125608,property,0.6243,True,0.2019,0.6243,0.1738,17.4,LA,medium
33.74,-118.29,1,379,property,0.10026385224274406,1.0828571208934847,property,0.8133,True,0.0751,0.8133,0.1116,11.2,LA,high
33.74,-118.29,2,492,property,0.2073170731707317,1.0566033449437917,property,0.8145,True,0.0741,0.8145,0.1113,11.1,LA,high
33.74,-118.29,3,585,property,0.17435897435897435,1.0380159560078714,property,0.8121,True,0.0761,0.8121,0.1118,11.2,LA,high
33.74,-118.28,0,190,property,0.1736842105263158,1.0647170224508002,property,0.6104,True,0.2116,0.6104,0.178,17.8,LA,medium
33.74,-118.28,1,230,property,0.09565217391304348,1.0362891733511996,property,0.7784,True,0.1077,0.7784,0.1139,11.4,LA,medium
33.74,-118.28,2,376,property,0.15159574468085107,1.0696668939211587,property,0.8085,True,0.0793,0.8085,0.1122,11.2,LA,high
33.74,-118.28,3,413,property,0.06537530266343826,1.085203399298912,property,0.6761,True,0.1678,0.6761,0.1561,15.6,LA,medium
33.74,-118.27,0,4,property,0.0,0.6931472015900639,property,0.812,True,0.0763,0.812,0.1117,11.2,LA,high
33.74,-118.27,1,3,other,0.3333333333333333,0.6365141893815645,property,0.8124,False,0.0759,0.8124,0.1117,11.2,LA,high
33.74,-118.27,2,5,property,0.4,0.9502705392332347,property,0.813,True,0.0755,0.813,0.1115,11.2,LA,high
33.74,-118.26,0,3,other,0.3333333333333333,0.6365141893815645,property,0.8103,False,0.0777,0.8103,0.112,11.2,LA,high
33.74,-118.26,1,10,other,0.1,0.9433483923290393,property,0.7792,False,0.1133,0.7792,0.1074,10.7,LA,medium
33.74,-118.26,2,54,other,0.9074074074074074,0.24992105341500578,property,0.8032,False,0.0858,0.8032,0.111,11.1,LA,high
33.74,-118.26,3,13,other,0.6153846153846154,0.6870920273799715,property,0.678,False,0.1697,0.678,0.1523,15.2,LA,medium
33.75,-118.32000000000001,1,3,other,0.3333333333333333,0.6365141893815645,property,0.7786,False,0.1122,0.7786,0.1092,10.9,LA,medium
33.75,-118.32000000000001,3,4,property,1.0,4.3446531758480495e-08,property,0.8125,True,0.0758,0.8125,0.1116,11.2,LA,high
33.75,-118.31,0,37,property,0.13513513513513514,0.9504768136373176,property,0.8152,True,0.0737,0.8152,0.1112,11.1,LA,high
33.75,-118.31,1,49,property,0.20408163265306123,1.042903103340292,property,0.8157,True,0.0731,0.8157,0.1111,11.1,LA,high
33.75,-118.31,2,125,property,0.104,1.0862492323185953,property,0.8155,True,0.0733,0.8155,0.1112,11.1,LA,high
33.75,-118.31,3,95,property,0.15789473684210525,1.0664387527786503,property,0.8149,True,0.0738,0.8149,0.1113,11.1,LA,high
33.75,-118.3,0,43,property,0.4418604651162791,0.8814953646168179,property,0.8154,True,0.0734,0.8154,0.1111,11.1,LA,high
33.75,-118.3,1,57,property,0.2982456140350877,0.9486354534894794,property,0.8155,True,0.0734,0.8155,0.1112,11.1,LA,high
33.75,-118.3,2,93,property,0.3010752688172043,0.9994401938040792,property,0.8158,True,0.0731,0.8158,0.1111,11.1,LA,high
33.75,-118.3,3,89,property,0.33707865168539325,0.9890842759495613,property,0.8153,True,0.0735,0.8153,0.1112,11.1,LA,high
33.75,-118.29,0,73,property,0.273972602739726,0.9916352591944562,property,0.8104,True,0.0776,0.8104,0.1121,11.2,LA,high
33.75,-118.29,1,101,property,0.06930693069306931,1.0353702420749424,property,0.815,True,0.0738,0.815,0.1113,11.1,LA,high
33.75,-118.29,2,141,property,0.14893617021276595,1.0490936034046,property,0.8145,True,0.0742,0.8145,0.1113,11.1,LA,high
33.75,-118.29,3,144,property,0.14583333333333334,1.0704793754254558,property,0.8102,True,0.0775,0.8102,0.1123,11.2,LA,high
33.75,-118.28,0,46,property,0.06521739130434782,1.089689520279006,property,0.7908,True,0.0926,0.7908,0.1166,11.7,LA,medium
33.75,-118.28,1,106,property,0.20754716981132076,1.004809222807249,property,0.8102,True,0.0784,0.8102,0.1114,11.1,LA,high
33.75,-118.28,2,126,property,0.1111111111111111,1.0608569471580214,property,0.8142,True,0.0744,0.8142,0.1114,11.1,LA,high
33.75,-118.28,3,98,property,0.02040816326530612,1.0424975748331864,property,0.7769,True,0.1013,0.7769,0.1219,12.2,LA,medium
33.75,-118.26,2,3,property,0.3333333333333333,0.6365141893815645,property,0.8145,True,0.0741,0.8145,0.1113,11.1,LA,high
33.75,-118.25,1,5,other,0.2,0.6730116880595106,property,0.8131,False,0.0754,0.8131,0.1115,11.2,LA,high
33.75,-118.25,3,4,property,0.5,0.5623351657797391,property,0.6607,True,0.179,0.6607,0.1603,16.0,LA,medium
33.76,-118.31,0,21,property,0.2857142857142857,0.9556998911125343,property,0.8151,True,0.0737,0.8151,0.1112,11.1,LA,high
33.76,-118.31,1,23,property,0.043478260869565216,1.0334920606923674,property,0.8146,True,0.0741,0.8146,0.1113,11.1,LA,high
33.76,-118.31,2,41,property,0.17073170731707318,1.0332179337404424,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.76,-118.31,3,56,property,0.14285714285714285,1.0261054958026545,property,0.8145,True,0.0742,0.8145,0.1113,11.1,LA,high
33.76,-118.3,0,38,property,0.13157894736842105,1.0325228878180137,property,0.8152,True,0.0736,0.8152,0.1112,11.1,LA,high
33.76,-118.3,1,36,property,0.1388888888888889,1.0692609175493168,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.76,-118.3,2,59,property,0.22033898305084745,0.9241484300948382,property,0.8155,True,0.0733,0.8155,0.1112,11.1,LA,high
33.76,-118.3,3,75,property,0.28,0.9959160759287097,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.76,-118.29,0,91,other,0.3076923076923077,0.8587409130062869,property,0.7711,False,0.1241,0.7711,0.1049,10.5,LA,medium
33.76,-118.29,1,104,property,0.33653846153846156,0.8641397915538049,property,0.7836,True,0.1074,0.7836,0.109,10.9,LA,medium
33.76,-118.29,2,192,property,0.484375,0.8234134492535677,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.76,-118.29,3,99,property,0.26262626262626265,0.9903573082322444,property,0.8141,True,0.0745,0.8141,0.1114,11.1,LA,high
33.76,-118.28,0,6,property,0.5,0.8675632284814613,property,0.6084,True,0.2132,0.6084,0.1783,17.8,LA,medium
33.76,-118.28,1,12,other,0.08333333333333333,1.0775563270668007,property,0.7724,False,0.1204,0.7724,0.1072,10.7,LA,medium
33.76,-118.28,2,16,property,0.1875,1.0239287996389363,property,0.7482,True,0.1355,0.7482,0.1164,11.6,LA,medium
33.76,-118.28,3,3,other,0.3333333333333333,0.6365141893815645,property,0.6067,False,0.2142,0.6067,0.1792,17.9,LA,medium
33.76,-118.27,0,4,property,0.25,1.0397207708399179,property,0.7922,True,0.0971,0.7922,0.1106,11.1,LA,medium
33.76,-118.27,1,7,other,0.42857142857142855,0.5982696097102536,property,0.8126,False,0.0758,0.8126,0.1116,11.2,LA,high
33.76,-118.27,2,9,other,0.5555555555555556,0.5297062202512142,property,0.8116,False,0.0765,0.8116,0.1119,11.2,LA,high
33.76,-118.27,3,6,other,0.5,0.8675632284814612,property,0.8134,False,0.0751,0.8134,0.1115,11.1,LA,high
33.76,-118.25,0,7,other,0.2857142857142857,0.9556998911125343,property,0.6147,False,0.2092,0.6147,0.1761,17.6,LA,medium
33.76,-118.25,1,6,other,0.6666666666666666,0.4505612301390093,property,0.8119,False,0.0763,0.8119,0.1117,11.2,LA,high
33.76,-118.25,2,8,other,0.5,0.5623351657797391,property,0.8124,False,0.076,0.8124,0.1116,11.2,LA,high
33.76,-118.25,3,15,property,0.06666666666666667,1.0851886129676505,property,0.7724,True,0.1207,0.7724,0.1069,10.7,LA,medium
33.77,-118.31,0,3,violent,0.0,1.0986122886681096,property,0.8141,False,0.0745,0.8141,0.1114,11.1,LA,high
33.77,-118.31,1,5,property,0.4,0.9502705392332347,property,0.8149,True,0.0738,0.8149,0.1112,11.1,LA,high
33.77,-118.31,2,9,property,0.2222222222222222,0.9368883075390159,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.77,-118.3,0,13,property,0.8461538461538461,0.2711893944939206,property,0.8129,True,0.0756,0.8129,0.1115,11.2,LA,high
33.77,-118.3,1,8,property,0.25,1.0397207708399179,property,0.7766,True,0.1169,0.7766,0.1066,10.7,LA,medium
33.77,-118.3,2,31,property,0.3548387096774194,0.9695156076823563,property,0.7718,True,0.1224,0.7718,0.1058,10.6,LA,medium
33.77,-118.3,3,16,property,0.125,1.0717300941124526,property,0.6102,True,0.2117,0.6102,0.1781,17.8,LA,medium
33.77,-118.28,0,31,property,0.03225806451612903,1.097582370270211,property,0.6482,True,0.1864,0.6482,0.1654,16.5,LA,medium
33.77,-118.28,1,39,property,0.41025641025641024,0.7054989952860833,property,0.8144,True,0.0743,0.8144,0.1113,11.1,LA,high
