Scenario,Precision Macro,F1 Macro,Coverage,Note
Karachi baseline,0.4795,0.4769,1.0,no transfer
Zero-shot NYC->Karachi,0.4905,0.4478,1.0,0% target data
Fine-tune 10%,0.4934,0.4615,1.0,10% target+src proba
Fine-tune 20%,0.4844,0.4561,1.0,20% target+src proba
Fine-tune 50%,0.4885,0.4585,1.0,50% target+src proba
Teacher-Student (T=3.0),0.4839,0.4512,1.0,soft labels
