Feature Group,N Features,Precision Macro,Precision Weighted,F1 Macro
hist_* only,3,0.434,0.6684,0.415
All features (full model),26,0.4338,0.6676,0.4148
hist_* + lag_*,6,0.4318,0.667,0.4179
Spatial + Temporal + Relative,17,0.4279,0.6694,0.4156
lag_* only,3,0.4184,0.6658,0.4217
Spatial only,4,0.4062,0.6591,0.399
Stability features,3,0.404,0.6623,0.3791
Spatial + Temporal,13,0.3881,0.632,0.3761
