lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_other,p_property,p_violent,risk
52.165,0.11,0,3,3,violent,violent,0.9990274495891044,True,0.00048627387287117086,0.0004862765380244266,0.9990274495891044,33.9
52.165,0.11,0,12,3,other,other,0.9990273682992574,True,0.9990273682992574,0.0004863078285726786,0.0004863238721699344,33.9
52.165,0.11,1,3,3,violent,violent,0.9990274468055675,True,0.0004862771533306728,0.00048627604110172684,0.9990274468055675,33.9
52.165,0.11,1,11,3,violent,violent,0.9990274377106589,True,0.00048628266961394084,0.00048627961972720846,0.9990274377106589,33.9
52.165,0.11,3,1,4,other,other,0.999027443823081,True,0.999027443823081,0.00048627878667203376,0.0004862773902470008,39.3
52.165,0.125,0,3,3,other,other,0.9990274455845446,True,0.9990274455845446,0.00048627746324423694,0.00048627695221120816,33.9
52.17,0.105,0,11,3,property,property,0.9990274443899453,True,0.00048627844397501445,0.9990274443899453,0.0004862771660796588,33.9
52.17,0.105,1,1,4,property,property,0.9984452341639389,True,0.0007773414362517261,0.9984452341639389,0.0007774243998092865,39.3
52.17,0.105,3,3,4,other,other,0.9990273527096829,True,0.9990273527096829,0.00048632923413804963,0.00048631805617903166,39.3
52.17,0.11,2,2,5,property,property,0.9990534166407599,True,0.00048622431385380075,0.9990534166407599,0.0004603590453862295,43.8
52.17,0.11,2,3,3,property,property,0.9990274528321457,True,0.0004862745746936064,0.9990274528321457,0.00048627259316064,33.9
52.17,0.115,0,3,3,property,property,0.9990274266016416,True,0.0004862816279691715,0.9990274266016416,0.0004862917703893749,33.9
52.17,0.115,3,3,3,property,property,0.9990274369020534,True,0.000486283387326888,0.9990274369020534,0.00048627971061955007,33.9
52.17,0.12,0,3,6,violent,violent,0.9990309967298049,True,0.0004840310494935013,0.00048497222070167744,0.9990309967298049,47.5
52.17,0.125,0,3,3,other,other,0.9990273637992971,True,0.9990273637992971,0.0004863148819995724,0.00048632131870334926,33.9
52.17,0.125,2,2,3,violent,violent,0.9990274377181543,True,0.00048628266134519355,0.000486279620500592,0.9990274377181543,33.9
52.175000000000004,0.115,0,1,3,other,other,0.9990274457722281,True,0.9990274457722281,0.00048627727534365827,0.0004862769524282195,33.9
52.175000000000004,0.115,0,2,4,property,property,0.9990274447216619,True,0.000486277798579891,0.9990274447216619,0.00048627747975809113,39.3
52.175000000000004,0.115,0,12,6,violent,violent,0.9986851240503342,True,0.0007059537812704861,0.0006089221683953787,0.9986851240503342,47.5
