lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk
40.64,-89.68,2,8,5,other,other,0.797,True,0.1924,0.0106,0.797,0.0
40.64,-89.68,2,9,9,other,other,0.671,True,0.3286,0.0,0.6714,0.0
40.64,-89.68,2,10,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.68,3,8,5,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.68,3,11,4,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.64,-89.67,0,3,5,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,0,5,4,other,other,0.964,True,0.0,0.0361,0.9639,0.0
40.64,-89.67,0,8,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.67,0,9,4,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.67,0,11,5,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.64,-89.67,0,12,7,other,other,0.75,True,0.2504,0.0,0.7496,0.0
40.64,-89.67,1,5,10,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.67,1,7,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,1,8,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,1,9,12,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,1,10,7,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.64,-89.67,1,11,5,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,1,12,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,2,1,5,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.67,2,2,6,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,2,3,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.67,2,8,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.67,2,9,14,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,2,10,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.67,3,1,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.67,3,6,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.67,3,8,12,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.67,3,9,6,other,other,0.75,True,0.2504,0.0,0.7496,0.0
40.64,-89.67,3,10,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.67,3,11,17,violent,other,0.987,False,0.0,0.0126,0.9874,0.0
40.64,-89.66,0,12,4,other,other,0.75,True,0.2504,0.0,0.7496,0.0
40.64,-89.66,2,8,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.66,2,11,6,other,other,0.75,True,0.2504,0.0,0.7496,0.0
40.64,-89.66,3,1,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.66,3,4,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.66,3,7,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.66,3,8,6,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.66,3,9,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.66,3,10,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.65,0,1,6,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.65,0,2,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.65,0,8,10,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.65,0,9,5,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.65,0,10,3,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.64,-89.65,0,11,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.65,0,12,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.65,1,4,4,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.64,-89.65,1,8,5,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.65,2,2,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.64,-89.65,2,5,5,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.64,-89.65,2,6,4,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.64,-89.65,2,8,5,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.64,-89.65,2,10,21,other,other,0.963,True,0.0,0.0371,0.9629,0.0
