Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.6369,0.8606,0.6845,1.0,-
LightGBM (no threshold),0.9389,0.9141,0.8946,1.0,-
CatBoost raw + t=0.3,0.6369,0.8606,0.6845,1.0,0.3
CatBoost Platt + t=0.3,0.268,0.6463,0.2971,1.0,0.3
CatBoost Iso + t=0.8,0.9042,0.9071,0.7739,0.85,0.8
LightGBM Platt + t=0.85,0.4667,0.8711,0.4828,0.784,0.85
CatBoost Platt + class-threshold,0.268,0.6463,0.2971,1.0,per-class
Two-Stage (dom_gap>0.3),0.3016,0.8186,0.3167,0.137,>0.3
