Feature Group,N Features,Precision Macro,Precision Weighted,F1 Macro
hist_* only,3,0.4555,0.8339,0.4636
hist_* + lag_*,6,0.4535,0.8294,0.4663
All features (full model),26,0.45,0.8311,0.4616
lag_* only,3,0.43,0.796,0.3389
Spatial + Temporal,13,0.4265,0.7807,0.4333
Spatial + Temporal + Relative,17,0.4149,0.7859,0.4114
Stability features,3,0.38,0.764,0.353
Spatial only,4,0.3795,0.7588,0.3347
