Scenario,Precision Macro,F1 Macro,Coverage,Note
Philadelphia baseline,0.4365,0.4382,1.0,no transfer
Zero-shot NYC->Philadelphia,0.4373,0.439,1.0,0% target data
Fine-tune 10%,0.438,0.4383,1.0,10% target+src proba
Fine-tune 20%,0.4382,0.438,1.0,20% target+src proba
Fine-tune 50%,0.4371,0.437,1.0,50% target+src proba
Teacher-Student (T=3.0),0.4381,0.4371,1.0,soft labels
