Feature Group,N Features,Precision Macro,Precision Weighted,F1 Macro
All features (full model),26,0.6316,0.9011,0.6266
hist_* only,3,0.6295,0.897,0.6069
hist_* + lag_*,6,0.6281,0.8982,0.6137
Spatial + Temporal + Relative,17,0.6154,0.9,0.6219
Spatial + Temporal,13,0.607,0.9198,0.6281
Stability features,3,0.5676,0.9038,0.5689
Spatial only,4,0.5578,0.9061,0.5349
lag_* only,3,0.5562,0.903,0.5389
