Scenario,Precision Macro,F1 Macro,Coverage,Note
Chicago baseline,0.4328,0.4048,1.0,no transfer
NYC->Chicago zero-shot,0.4265,0.3517,1.0,0% target data
Fine-tune 10% (src features),0.4297,0.3826,1.0,10% target + source proba
Fine-tune 20% (src features),0.4304,0.3826,1.0,20% target + source proba
Fine-tune 50% (src features),0.4322,0.3817,1.0,50% target + source proba
Teacher-Student (T=3.0),0.4415,0.4101,1.0,soft labels
