city,latitude,longitude,datetime,crime_category
Birmingham,33.61930309,-86.69158442,2023-12-13 09:00:00,property
Birmingham,33.53130326,-86.73350445,2023-12-13 08:00:00,property
Birmingham,33.59651002,-86.72994301,2023-12-13 08:00:00,property
Birmingham,33.55315504,-86.71200894,2023-12-12 23:00:00,property
Birmingham,33.62154927,-86.66048034,2023-12-12 21:00:00,property
Birmingham,33.56543035,-86.77549081,2023-12-12 18:00:00,property
Birmingham,33.55428432,-86.78293923,2023-12-12 11:00:00,property
Birmingham,33.56843291,-86.7293372,2023-12-12 08:00:00,property
Birmingham,33.54317344,-86.72835238,2023-12-11 20:00:00,property
Birmingham,33.52596986,-86.72194602,2023-12-11 17:25:00,property
Birmingham,33.60952451,-86.69345632,2023-12-11 15:45:00,property
Birmingham,33.53705335,-86.73337026,2023-12-11 14:09:00,property
Birmingham,33.54962942,-86.73913099,2023-12-11 12:00:00,property
Birmingham,33.61257135,-86.71250748,2023-12-10 23:45:00,violent
Birmingham,33.56903278,-86.69831794,2023-12-10 18:00:00,property
Birmingham,33.56903278,-86.69831794,2023-12-10 18:00:00,violent
Birmingham,33.55210381,-86.73960476,2023-12-10 18:00:00,property
Birmingham,33.59439719,-86.67439265,2023-12-10 17:30:00,property
Birmingham,33.55819351,-86.73270056,2023-12-10 10:15:00,violent
Birmingham,33.56202626,-86.728459,2023-12-10 07:00:00,property
Birmingham,33.62202839,-86.66767069,2023-12-09 23:00:00,property
Birmingham,33.59348047,-86.66592573,2023-12-09 23:00:00,violent
Birmingham,33.66146932,-86.68470807,2023-12-09 19:10:00,violent
Birmingham,33.54993545,-86.73513639,2023-12-09 11:30:00,property
Birmingham,33.54340715,-86.72579232,2023-12-09 06:00:00,property
Birmingham,33.54340715,-86.72579232,2023-12-09 06:00:00,property
Birmingham,33.60982865,-86.68559656,2023-12-08 19:52:00,property
Birmingham,33.52716156,-86.70273712,2023-12-08 16:00:00,property
Birmingham,33.6627551,-86.68753921,2023-12-08 07:00:00,property
Birmingham,33.60850047,-86.68621176,2023-12-08 00:00:00,property
Birmingham,33.54319463,-86.72860741,2023-12-07 20:00:00,violent
Birmingham,33.60067766,-86.69279988,2023-12-07 17:00:00,property
Birmingham,33.56781062,-86.73322165,2023-12-07 09:33:00,property
Birmingham,33.53774337,-86.7355555,2023-12-06 23:00:00,property
Birmingham,33.56688246,-86.69964331,2023-12-06 18:00:00,property
Birmingham,33.5455081,-86.72368252,2023-12-06 17:30:00,property
Birmingham,33.5649093,-86.73566977,2023-12-06 09:40:00,violent
Birmingham,33.62050595,-86.68640691,2023-12-06 01:23:00,property
Birmingham,33.55898023,-86.7487485,2023-12-06 00:30:00,property
Birmingham,33.58909011,-86.69659726,2023-12-05 21:31:00,property
Birmingham,33.592879,-86.68140832,2023-12-05 18:00:00,violent
Birmingham,33.61319491,-86.71776659,2023-12-05 18:00:00,property
Birmingham,33.56157649,-86.72829788,2023-12-05 18:00:00,property
Birmingham,33.61155488,-86.61590638,2023-12-05 17:15:00,property
Birmingham,33.54277543,-86.73892065,2023-12-05 16:00:00,property
Birmingham,33.52139487,-86.73432037,2023-12-05 14:00:00,property
Birmingham,33.52987664,-86.72249121,2023-12-04 16:00:00,property
Birmingham,33.57563756,-86.72018688,2023-12-04 14:00:00,property
Birmingham,33.56258323,-86.73596976,2023-12-04 08:11:00,violent
Birmingham,33.67176885,-86.68103213,2023-12-04 03:00:00,property
Birmingham,33.5916029,-86.70787354,2023-12-03 10:00:00,property
Birmingham,33.63345762,-86.71382363,2023-12-03 02:00:00,property
Birmingham,33.66146932,-86.68470807,2023-12-03 00:00:00,property
Birmingham,33.55524813,-86.78194661,2023-12-02 15:00:00,violent
Birmingham,33.53956656,-86.76159891,2023-12-02 14:00:00,violent
Birmingham,33.55856638,-86.72591375,2023-12-02 12:00:00,property
Birmingham,33.54660102,-86.74051194,2023-12-02 02:00:00,property
Birmingham,33.60810798,-86.6237976,2023-12-01 18:00:00,property
Birmingham,33.53308562,-86.73637018,2023-12-01 11:00:00,violent
Birmingham,33.61036854,-86.69332558,2023-12-01 06:38:00,property
Birmingham,33.66146932,-86.68470807,2023-12-01 01:15:00,property
Birmingham,33.60820232,-86.68689034,2023-11-30 18:00:00,property
Birmingham,33.57125917,-86.72054114,2023-11-30 15:00:00,property
Birmingham,33.55769106,-86.71836427,2023-11-30 14:00:00,property
Birmingham,33.53830225,-86.74235228,2023-11-30 12:00:00,violent
Birmingham,33.52596986,-86.72194602,2023-11-30 11:30:00,property
Birmingham,33.59708084,-86.70776673,2023-11-30 10:00:00,property
Birmingham,33.55386267,-86.73621951,2023-11-29 22:00:00,property
Birmingham,33.54265594,-86.74605747,2023-11-29 20:30:00,property
Birmingham,33.61577987,-86.69154102,2023-11-29 19:40:00,property
Birmingham,33.54190794,-86.73123033,2023-11-29 11:21:00,property
Birmingham,33.6213427,-86.67534124,2023-11-29 10:28:00,property
Birmingham,33.64566421,-86.70888655,2023-11-29 09:31:00,property
Birmingham,33.54369282,-86.72795581,2023-11-29 09:00:00,property
