city,datetime,hour,month,weekday,crime_category,latitude,longitude
Cambridge,2023-04-14 02:00:00,2,4,4,other,52.222742,0.170386
Cambridge,2023-04-17 22:00:00,22,4,0,other,52.190226,0.165568
Cambridge,2023-04-04 16:00:00,16,4,1,other,52.201006,0.156302
Cambridge,2023-04-18 14:00:00,14,4,1,other,52.226291,0.145945
Cambridge,2023-04-08 09:00:00,9,4,5,other,52.2071,0.119758
Cambridge,2023-04-04 11:00:00,11,4,1,other,52.197086,0.1538
Cambridge,2023-04-02 11:00:00,11,4,6,other,52.197767,0.127669
Cambridge,2023-04-06 19:00:00,19,4,3,other,52.201433,0.153103
Cambridge,2023-04-22 06:00:00,6,4,5,other,52.236114,0.109335
Cambridge,2023-04-10 09:00:00,9,4,0,other,52.172128,0.164908
Cambridge,2023-04-04 04:00:00,4,4,1,other,52.234858,0.117726
Cambridge,2023-04-22 19:00:00,19,4,5,other,52.228862,0.133124
Cambridge,2023-04-18 19:00:00,19,4,1,other,52.1873,0.169186
Cambridge,2023-04-26 10:00:00,10,4,2,other,52.19451,0.157977
Cambridge,2023-04-12 01:00:00,1,4,2,other,52.186816,0.147993
Cambridge,2023-04-02 23:00:00,23,4,6,other,52.200234,0.151293
Cambridge,2023-04-10 15:00:00,15,4,0,other,52.219484,0.150419
Cambridge,2023-04-04 11:00:00,11,4,1,other,52.202022,0.142478
Cambridge,2023-04-14 15:00:00,15,4,4,other,52.208553,0.131887
Cambridge,2023-04-16 03:00:00,3,4,6,other,52.218965,0.144332
Cambridge,2023-04-15 01:00:00,1,4,5,other,52.194769,0.136334
Cambridge,2023-04-08 09:00:00,9,4,5,other,52.193225,0.136216
Cambridge,2023-04-14 12:00:00,12,4,4,other,52.204812,0.121976
Cambridge,2023-04-23 22:00:00,22,4,6,other,52.208936,0.131101
Cambridge,2023-04-28 18:00:00,18,4,4,other,52.219484,0.150419
Cambridge,2023-04-25 14:00:00,14,4,1,other,52.194769,0.136334
Cambridge,2023-04-08 22:00:00,22,4,5,other,52.190238,0.132796
Cambridge,2023-04-21 00:00:00,0,4,4,other,52.223014,0.118817
Cambridge,2023-04-16 16:00:00,16,4,6,other,52.166471,0.11243
Cambridge,2023-04-13 19:00:00,19,4,3,other,52.184393,0.16587
Cambridge,2023-04-18 03:00:00,3,4,1,other,52.20533,0.12364
Cambridge,2023-04-15 19:00:00,19,4,5,other,52.198647,0.14909
Cambridge,2023-04-21 08:00:00,8,4,4,other,52.207489,0.1321
Cambridge,2023-04-24 05:00:00,5,4,0,other,52.236114,0.109335
Cambridge,2023-04-26 02:00:00,2,4,2,other,52.199586,0.140458
Cambridge,2023-04-25 21:00:00,21,4,1,other,52.196817,0.146895
Cambridge,2023-04-28 01:00:00,1,4,4,other,52.167934,0.122078
Cambridge,2023-04-28 17:00:00,17,4,4,other,52.182608,0.151916
Cambridge,2023-04-28 22:00:00,22,4,4,other,52.19451,0.157977
Cambridge,2023-04-13 18:00:00,18,4,3,other,52.191801,0.140362
Cambridge,2023-04-09 06:00:00,6,4,6,other,52.238869,0.162824
Cambridge,2023-04-15 02:00:00,2,4,5,other,52.224394,0.141973
Cambridge,2023-04-13 17:00:00,17,4,3,other,52.207875,0.123658
Cambridge,2023-04-01 19:00:00,19,4,5,other,52.1873,0.169186
Cambridge,2023-04-25 19:00:00,19,4,1,other,52.222187,0.097167
Cambridge,2023-04-07 18:00:00,18,4,4,other,52.205594,0.133429
Cambridge,2023-04-09 08:00:00,8,4,6,other,52.222187,0.097167
Cambridge,2023-04-24 15:00:00,15,4,0,other,52.214097,0.166188
Cambridge,2023-04-01 05:00:00,5,4,5,other,52.205386,0.124037
Cambridge,2023-04-12 20:00:00,20,4,2,other,52.199366,0.127262
Cambridge,2023-04-08 11:00:00,11,4,5,other,52.21425,0.147472
Cambridge,2023-04-24 05:00:00,5,4,0,other,52.186843,0.18808
Cambridge,2023-04-11 12:00:00,12,4,1,other,52.233099,0.114011
Cambridge,2023-04-19 23:00:00,23,4,2,other,52.199366,0.127262
Cambridge,2023-04-17 04:00:00,4,4,0,other,52.169079,0.102814
Cambridge,2023-04-08 12:00:00,12,4,5,other,52.207929,0.164687
Cambridge,2023-04-03 19:00:00,19,4,0,other,52.195963,0.141411
Cambridge,2023-04-03 06:00:00,6,4,0,other,52.201557,0.161597
Cambridge,2023-04-01 11:00:00,11,4,5,other,52.157674,0.180274
Cambridge,2023-04-27 20:00:00,20,4,3,other,52.213238,0.163042
Cambridge,2023-04-05 03:00:00,3,4,2,other,52.201421,0.125173
Cambridge,2023-04-10 04:00:00,4,4,0,other,52.224192,0.149665
Cambridge,2023-04-07 15:00:00,15,4,4,other,52.231944,0.137211
Cambridge,2023-04-26 03:00:00,3,4,2,other,52.190226,0.165568
Cambridge,2023-04-09 07:00:00,7,4,6,other,52.20199,0.13151
Cambridge,2023-04-28 15:00:00,15,4,4,other,52.218779,0.111793
Cambridge,2023-04-07 07:00:00,7,4,4,other,52.205622,0.118912
Cambridge,2023-04-09 16:00:00,16,4,6,other,52.22505,0.127114
Cambridge,2023-04-08 13:00:00,13,4,5,other,52.203523,0.124124
Cambridge,2023-04-12 11:00:00,11,4,2,other,52.166691,0.102614
Cambridge,2023-04-02 02:00:00,2,4,6,other,52.167934,0.122078
Cambridge,2023-04-01 19:00:00,19,4,5,other,52.2275,0.171819
Cambridge,2023-04-16 01:00:00,1,4,6,other,52.185441,0.17344
Cambridge,2023-04-23 12:00:00,12,4,6,other,52.189414,0.172069
Cambridge,2023-04-23 20:00:00,20,4,6,other,52.205548,0.141418
Cambridge,2023-04-24 10:00:00,10,4,0,other,52.204372,0.119408
Cambridge,2023-04-05 23:00:00,23,4,2,other,52.211411,0.143427
Cambridge,2023-04-03 11:00:00,11,4,0,other,52.193225,0.136216
Cambridge,2023-04-12 17:00:00,17,4,2,other,52.207516,0.130608
